"","GEOID","NAME.x","total_pop.2010","total_HU.2010","total_vacant.2010","med_HH_Income.2010","total_White.2010","total_GradDeg.2010","vacancyPct.2010","pctWhite.2010","NAME.y","total_pop.2016","total_HU.2016","total_vacant.2016","med_HH_Income.2016","total_White.2016","total_GradDeg.2016","vacancyPct.2016","pctWhite.2016","change_med_HH_Income","change_Grad_Degree_Pct","pointBreeze"
"249","42101027100","Census Tract 271, Philadelphia County, Pennsylvania",2446,944,0,48173,390,38,0,0.159443990188062,"Census Tract 271, Philadelphia County, Pennsylvania",3094,974,51,41114,146,113,0.0523613963039014,0.0471881060116354,-11910.0211,0.0209867329534493,"REST OF PHILADELPHIA"
"250","42101027200","Census Tract 272, Philadelphia County, Pennsylvania",4752,1989,122,45900,536,287,0.0613373554550025,0.112794612794613,"Census Tract 272, Philadelphia County, Pennsylvania",4974,1945,54,43715,461,230,0.0277634961439589,0.0926819461198231,-6807.13,-0.0141551725538457,"REST OF PHILADELPHIA"
"251","42101027300","Census Tract 273, Philadelphia County, Pennsylvania",6470,2250,135,40767,1031,290,0.06,0.15935085007728,"Census Tract 273, Philadelphia County, Pennsylvania",6815,2263,221,38606,743,52,0.0976579761378701,0.109024211298606,-6266.2369,-0.0371920291293072,"REST OF PHILADELPHIA"
"252","42101027401","Census Tract 274.01, Philadelphia County, Pennsylvania",3071,1254,118,21364,633,69,0.0940988835725678,0.206121784435037,"Census Tract 274.01, Philadelphia County, Pennsylvania",3316,1250,136,35648,533,45,0.1088,0.160735826296743,12132.6452,-0.00889768443578376,"REST OF PHILADELPHIA"
"253","42101027402","Census Tract 274.02, Philadelphia County, Pennsylvania",7617,2471,165,33289,981,260,0.0667745851881829,0.128790862544309,"Census Tract 274.02, Philadelphia County, Pennsylvania",7236,2479,270,36179,347,101,0.108914885034288,0.0479546710889994,-462.202299999997,-0.0201761857205592,"REST OF PHILADELPHIA"
"254","42101027500","Census Tract 275, Philadelphia County, Pennsylvania",4558,1763,203,39032,454,100,0.115144639818491,0.0996050899517332,"Census Tract 275, Philadelphia County, Pennsylvania",5304,1749,76,43105,465,99,0.043453401943968,0.0876696832579185,142.477599999998,-0.0032742887548917,"REST OF PHILADELPHIA"
"255","42101027600","Census Tract 276, Philadelphia County, Pennsylvania",3904,1832,209,30078,88,125,0.114082969432314,0.0225409836065574,"Census Tract 276, Philadelphia County, Pennsylvania",3579,1724,339,30506,59,58,0.196635730858469,0.0164850516904163,-2600.8546,-0.0158127985883043,"REST OF PHILADELPHIA"
"256","42101027700","Census Tract 277, Philadelphia County, Pennsylvania",3882,2223,414,22757,232,103,0.186234817813765,0.059763008758372,"Census Tract 277, Philadelphia County, Pennsylvania",5106,2318,387,24776,148,95,0.16695427092321,0.0289855072463768,-272.6299,-0.00792715301148874,"REST OF PHILADELPHIA"
"257","42101027800","Census Tract 278, Philadelphia County, Pennsylvania",4357,2382,306,30625,0,69,0.128463476070529,0,"Census Tract 278, Philadelphia County, Pennsylvania",4489,2229,310,29063,340,77,0.139075818752804,0.0757406994876364,-4645.9375,0.00131645596025845,"REST OF PHILADELPHIA"
"258","42101027901","Census Tract 279.01, Philadelphia County, Pennsylvania",3747,1694,370,29968,105,87,0.218417945690673,0.0280224179343475,"Census Tract 279.01, Philadelphia County, Pennsylvania",3648,1678,362,35669,123,63,0.215733015494636,0.0337171052631579,2683.2224,-0.00594883801778264,"REST OF PHILADELPHIA"
"259","42101027902","Census Tract 279.02, Philadelphia County, Pennsylvania",2475,1140,153,25038,2710,33,0.134210526315789,1.09494949494949,"Census Tract 279.02, Philadelphia County, Pennsylvania",2533,1058,151,30774,1662,60,0.142722117202268,0.656138965653375,3214.6734,0.0103539939465719,"REST OF PHILADELPHIA"
"260","42101028000","Census Tract 280, Philadelphia County, Pennsylvania",4765,1906,169,25476,79,0,0.0886673662119622,0.0165792235047219,"Census Tract 280, Philadelphia County, Pennsylvania",3975,1872,235,25604,31,103,0.125534188034188,0.00779874213836478,-2437.4332,0.0259119496855346,"REST OF PHILADELPHIA"
"261","42101028100","Census Tract 281, Philadelphia County, Pennsylvania",3539,1545,148,33699,41,80,0.0957928802588997,0.0115851935575021,"Census Tract 281, Philadelphia County, Pennsylvania",4387,1412,101,35083,370,104,0.0715297450424929,0.084340095737406,-2009.4893,0.0011011495663966,"REST OF PHILADELPHIA"
"262","42101028200","Census Tract 282, Philadelphia County, Pennsylvania",5041,2135,217,33227,318,88,0.101639344262295,0.0630827216822059,"Census Tract 282, Philadelphia County, Pennsylvania",5411,2226,170,29412,392,259,0.0763701707097934,0.0724450194049159,-7160.9589,0.0304086054508271,"REST OF PHILADELPHIA"
"263","42101028300","Census Tract 283, Philadelphia County, Pennsylvania",6562,2756,577,25959,372,124,0.209361393323657,0.0566900335263639,"Census Tract 283, Philadelphia County, Pennsylvania",6569,2698,454,23645,178,100,0.168272794662713,0.0270969706195768,-4928.0713,-0.00367366064011187,"REST OF PHILADELPHIA"
"264","42101028400","Census Tract 284, Philadelphia County, Pennsylvania",4178,1477,129,27955,346,108,0.0873392010832769,0.0828147438966012,"Census Tract 284, Philadelphia County, Pennsylvania",4712,1426,172,27188,487,86,0.120617110799439,0.103353140916808,-3582.0685,-0.00759841550168601,"REST OF PHILADELPHIA"
"265","42101028500","Census Tract 285, Philadelphia County, Pennsylvania",2689,872,70,29115,329,13,0.0802752293577982,0.12235031610264,"Census Tract 285, Philadelphia County, Pennsylvania",2886,989,132,27202,544,25,0.133468149646107,0.188496188496188,-4844.8805,0.00382799769188761,"REST OF PHILADELPHIA"
"266","42101028600","Census Tract 286, Philadelphia County, Pennsylvania",7213,2566,308,22902,1455,123,0.120031176929072,0.2017191182587,"Census Tract 286, Philadelphia County, Pennsylvania",7479,2510,272,27917,884,62,0.108366533864542,0.118197620002674,2708.7686,-0.00876266569176633,"REST OF PHILADELPHIA"
"267","42101028700","Census Tract 287, Philadelphia County, Pennsylvania",2633,838,87,25019,395,53,0.10381861575179,0.150018989745537,"Census Tract 287, Philadelphia County, Pennsylvania",2543,888,91,26292,635,127,0.102477477477477,0.249705072748722,-1246.4133,0.02981188428009,"REST OF PHILADELPHIA"
"268","42101028800","Census Tract 288, Philadelphia County, Pennsylvania",4469,1491,109,23322,938,44,0.0731052984574111,0.209890355784292,"Census Tract 288, Philadelphia County, Pennsylvania",4344,1494,303,28170,1087,62,0.20281124497992,0.250230202578269,2499.4746,0.00442695680948395,"REST OF PHILADELPHIA"
"269","42101028901","Census Tract 289.01, Philadelphia County, Pennsylvania",3988,1393,164,37401,716,15,0.117731514716439,0.179538615847543,"Census Tract 289.01, Philadelphia County, Pennsylvania",4427,1340,111,29236,1050,62,0.0828358208955224,0.237180935170544,-11931.2807,0.0102436856537537,"REST OF PHILADELPHIA"
"270","42101028902","Census Tract 289.02, Philadelphia County, Pennsylvania",6745,1986,175,30847,1670,17,0.0881168177240685,0.24759080800593,"Census Tract 289.02, Philadelphia County, Pennsylvania",6985,2109,157,27746,1327,80,0.0744428639165481,0.189978525411596,-6207.2929,0.00893272834459949,"REST OF PHILADELPHIA"
"271","42101029000","Census Tract 290, Philadelphia County, Pennsylvania",5948,2197,287,26750,1137,102,0.130632680928539,0.191156691324815,"Census Tract 290, Philadelphia County, Pennsylvania",7111,2166,105,36157,1459,162,0.0484764542936288,0.205175080860638,6713.275,0.00563298457725355,"REST OF PHILADELPHIA"
