,X,X1,tract,Asian18,Black18,White18,Other18,Asian13,Black13,White13,Other13,med_income2018,med_income2013,Hispanic13,Hispanic18,chasian,chblack,chwhite,chincome,chhisp,minor_pop_pct
193,193,193,59.14,0.062937063,0.300699301,0.496503497,0.125874126,0.074074074,0.240740741,0.574074074,0.092592593,60,53.5,0.092592593,0.153846154,-1.113701114,5.995855996,-7.757057757,650,6.125356125,60.77
194,194,194,59.15,0.072727273,0.309090909,0.472727273,0.145454545,0.083333333,0.166666667,0.75,0,77,73,0.166666667,0.145454545,-1.060606061,14.24242424,-27.72727273,400,-2.121212121,61.38
195,195,195,59.16,0,0,0.857142857,0.142857143,0,1,0,0,34,47,1,1,0,-100,85.71428571,-1300,0,88.11
196,196,196,59.17,0.063291139,0.303797468,0.518987342,0.094936709,0.150684932,0.123287671,0.657534247,0.068493151,63.5,56,0.123287671,0.170886076,-8.739379227,18.05097971,-13.85469048,750,4.759840472,52.95
197,197,197,59.18,0.07079646,0.212389381,0.522123894,0.194690265,0.060606061,0.151515152,0.727272727,0.060606061,86,56,0.121212121,0.14159292,1.019039957,6.087422902,-20.51488335,3000,2.038079914,61.92
198,198,198,60.05,0.061538462,0.307692308,0.553846154,0.061538462,0,0.409090909,0.522727273,0.068181818,65,50.5,0.045454545,0.2,6.153846154,-10.13986014,3.111888112,1450,15.45454545,55.8
199,199,199,60.06,0.033333333,0.52962963,0.322222222,0.107407407,0.178571429,0.321428571,0.410714286,0.089285714,55,36,0.178571429,0.203703704,-14.52380952,20.82010582,-8.849206349,1900,2.513227513,64.9
200,200,200,60.07,0.027777778,0.388888889,0.479166667,0.104166667,0.026315789,0.219298246,0.675438596,0.078947368,67,53,0.061403509,0.138888889,0.14619883,16.95906433,-19.62719298,1400,7.748538012,56.15
201,201,201,60.08,0,0.28,0.613333333,0.106666667,0.02173913,0.347826087,0.565217391,0.065217391,61,50,0.065217391,0.133333333,-2.173913043,-6.782608696,4.811594203,1100,6.811594203,54.16
202,202,202,60.09,0.035087719,0.333333333,0.526315789,0.105263158,0,0.510638298,0.425531915,0.063829787,56,56,0.106382979,0.192982456,3.50877193,-17.73049645,10.07838746,0,8.659947742,53.74
